Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
     725  0x02d5  DamageIAL_Date_G18
     726  0x02d6  DestructionIAL_Date_G18
     727  0x02d7  Destruction_Date_G18
     728  0x02d8  Kills_G19
     729  0x02d9  TimePlayed_G19
     730  0x02da  Destruction_G19
     731  0x02db  KillsIAL_G19
     732  0x02dc  DamageIAL_G19
     733  0x02dd  DestructionIAL_G19
     734  0x02de  Kills_Date_G19
     735  0x02df  TimePlayed_Date_G19
     736  0x02e0  KillsIAL_Date_G19
     737  0x02e1  DamageIAL_Date_G19
     738  0x02e2  DestructionIAL_Date_G19
     739  0x02e3  Destruction_Date_G19
     740  0x02e4  Kills_G20
     741  0x02e5  TimePlayed_G20
     742  0x02e6  Destruction_G20
     743  0x02e7  KillsIAL_G20
     744  0x02e8  DamageIAL_G20
     745  0x02e9  DestructionIAL_G20
     746  0x02ea  Kills_Date_G20
     747  0x02eb  TimePlayed_Date_G20
     748  0x02ec  KillsIAL_Date_G20
     749  0x02ed  DamageIAL_Date_G20
     750  0x02ee  DestructionIAL_Date_G20
     751  0x02ef  Destruction_Date_G20
     752  0x02f0  Kills_G21
     753  0x02f1  TimePlayed_G21
     754  0x02f2  Destruction_G21
     755  0x02f3  KillsIAL_G21
     756  0x02f4  DamageIAL_G21
     757  0x02f5  DestructionIAL_G21
     758  0x02f6  Kills_Date_G21
     759  0x02f7  TimePlayed_Date_G21
     760  0x02f8  KillsIAL_Date_G21
     761  0x02f9  DamageIAL_Date_G21
     762  0x02fa  DestructionIAL_Date_G21
     763  0x02fb  Destruction_Date_G21
     764  0x02fc  Kills_G22
     765  0x02fd  TimePlayed_G22
     766  0x02fe  Destruction_G22
     767  0x02ff  KillsIAL_G22
     768  0x0300  DamageIAL_G22
     769  0x0301  DestructionIAL_G22
     770  0x0302  Kills_Date_G22
     771  0x0303  TimePlayed_Date_G22
     772  0x0304  KillsIAL_Date_G22
